eventID,eventAssertionType,eventAssertionValue,eventAssertionValueNumeric,eventAssertionUnit,eventAssertionByAgentID,eventAssertionDate,eventAssertionProtocol,eventAssertionRemarks,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,subadult
,,,,,,,,,,,
,,,,,,,,,,,subadult
,,,,,,,,,,,subadult
,,,,,,,,,,,subadult
,,,,,,,,,,,subadult
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,adult
,,,,,,,,,,,adult
,,,,,,,,,,,adult
,,,,,,,,,,,adult
,,,,,,,,,,,adult
,,,,,,,,,,,
,,,,,,,,,,,adult
