assertionID,geneticSequenceID,effectiveDate,type,value,valueNumeric,unit
11971,11965,,relativeAbundance,,1.7927204684010383,percentage
11978,11972,,reads,,73.0,unit
11978,11972,,relativeAbundance,,0.07822881392258563,percentage
11985,11979,,reads,,154.0,unit
11985,11979,,relativeAbundance,,0.26109217910245325,percentage
11992,11986,,reads,,58.0,unit
11992,11986,,relativeAbundance,,0.09317568435933685,percentage
11999,11993,,reads,,1422.0,unit
11999,11993,,relativeAbundance,,2.6537772469393848,percentage
12006,12000,,reads,,322.0,unit
12006,12000,,relativeAbundance,,1.051016744459314,percentage
12013,12007,,reads,,2529.0,unit
12013,12007,,relativeAbundance,,4.4562306174231745,percentage
12020,12014,,reads,,8.0,unit
12020,12014,,relativeAbundance,,0.030593904164595204,percentage
12027,12021,,reads,,3979.0,unit
12027,12021,,relativeAbundance,,8.52271510270525,percentage
12034,12028,,reads,,1418.0,unit
12034,12028,,relativeAbundance,,2.612428379299545,percentage
12041,12035,,reads,,593.0,unit
12041,12035,,relativeAbundance,,1.0879735804054673,percentage
12048,12042,,reads,,1659.0,unit
12048,12042,,relativeAbundance,,3.521321079107677,percentage
12055,12049,,reads,,36.0,unit
12055,12049,,relativeAbundance,,0.10689470871191876,percentage
12062,12056,,reads,,229.0,unit
12062,12056,,relativeAbundance,,0.3779189702120637,percentage
12069,12063,,reads,,2101.0,unit
12069,12063,,relativeAbundance,,2.4170261719873456,percentage
12076,12070,,reads,,480.0,unit
12076,12070,,relativeAbundance,,0.8014425966740132,percentage
12083,12077,,reads,,5.0,unit
12083,12077,,relativeAbundance,,0.007542274448282624,percentage
12090,12084,,reads,,251.0,unit
12090,12084,,relativeAbundance,,0.3764190698999715,percentage
12097,12091,,reads,,113.0,unit
12097,12091,,relativeAbundance,,0.16356188573827204,percentage
12104,12098,,reads,,1312.0,unit
12104,12098,,relativeAbundance,,2.390104384894249,percentage
12111,12105,,reads,,881.0,unit
12111,12105,,relativeAbundance,,1.1269299154482777,percentage
12118,12112,,reads,,322.0,unit
12118,12112,,relativeAbundance,,0.4632693580410324,percentage
12125,12119,,reads,,2038.0,unit
12125,12119,,relativeAbundance,,2.821698557306233,percentage
12132,12126,,reads,,8.0,unit
12132,12126,,relativeAbundance,,0.03492229788720098,percentage
12139,12133,,reads,,1116.0,unit
12139,12133,,relativeAbundance,,1.3735046521931769,percentage
12146,12140,,reads,,27.0,unit
12146,12140,,relativeAbundance,,0.05212153970889155,percentage
12153,12147,,reads,,282.0,unit
12153,12147,,relativeAbundance,,0.8034188034188035,percentage
12160,12154,,reads,,670.0,unit
12160,12154,,relativeAbundance,,3.601182477828541,percentage
12167,12161,,reads,,4104.0,unit
12167,12161,,relativeAbundance,,5.613305613305613,percentage
12174,12168,,reads,,381.0,unit
12174,12168,,relativeAbundance,,0.8614452383105725,percentage
12181,12175,,reads,,68.0,unit
12181,12175,,relativeAbundance,,0.11278819041300381,percentage
12188,12182,,reads,,87.0,unit
12188,12182,,relativeAbundance,,0.1662716917666845,percentage
12195,12189,,reads,,17.0,unit
12195,12189,,relativeAbundance,,0.03230649360521465,percentage
12202,12196,,reads,,3164.0,unit
12202,12196,,relativeAbundance,,5.904968086297638,percentage
12209,12203,,reads,,3316.0,unit
12209,12203,,relativeAbundance,,5.029500538441704,percentage
12216,12210,,reads,,2352.0,unit
12216,12210,,relativeAbundance,,4.53056978849636,percentage
12223,12217,,reads,,9.0,unit
12223,12217,,relativeAbundance,,0.033340742387197156,percentage
12230,12224,,reads,,668.0,unit
12230,12224,,relativeAbundance,,1.0721450926891902,percentage
12237,12231,,reads,,372.0,unit
12237,12231,,relativeAbundance,,0.4741511165494035,percentage
12244,12238,,reads,,6.0,unit
12244,12238,,relativeAbundance,,0.01822489520685256,percentage
12251,12245,,reads,,257.0,unit
12251,12245,,relativeAbundance,,0.3418507827983878,percentage
12258,12252,,reads,,871.0,unit
12258,12252,,relativeAbundance,,0.9383248047401024,percentage
12265,12259,,reads,,720.0,unit
12265,12259,,relativeAbundance,,1.7200602021070737,percentage
12272,12266,,reads,,432.0,unit
12272,12266,,relativeAbundance,,0.6043564024006379,percentage
12279,12273,,reads,,140.0,unit
12279,12273,,relativeAbundance,,0.4163816435178301,percentage
12286,12280,,reads,,3.0,unit
12286,12280,,relativeAbundance,,0.009950908849674938,percentage
12293,12287,,reads,,860.0,unit
12293,12287,,relativeAbundance,,1.0045086084051673,percentage
12300,12294,,reads,,162.0,unit
12300,12294,,relativeAbundance,,0.463718334048948,percentage
12307,12301,,reads,,3.0,unit
12307,12301,,relativeAbundance,,0.012176313012419839,percentage
12314,12308,,reads,,887.0,unit
12314,12308,,relativeAbundance,,1.4643246277280682,percentage
12321,12315,,reads,,18.0,unit
12321,12315,,relativeAbundance,,0.036219490110067004,percentage
12328,12322,,reads,,530.0,unit
12328,12322,,relativeAbundance,,1.42507595923745,percentage
12335,12329,,reads,,56.0,unit
12335,12329,,relativeAbundance,,0.6024744486282948,percentage
12342,12336,,reads,,82.0,unit
12342,12336,,relativeAbundance,,0.3300064391500322,percentage
12349,12343,,reads,,282.0,unit
12349,12343,,relativeAbundance,,0.3139822299418799,percentage
12356,12350,,reads,,1497.0,unit
12356,12350,,relativeAbundance,,4.562911485003657,percentage
12363,12357,,reads,,60.0,unit
12363,12357,,relativeAbundance,,0.23945404477790638,percentage
12370,12364,,reads,,8635.0,unit
12370,12364,,relativeAbundance,,27.542102577188057,percentage
12377,12371,,reads,,388.0,unit
12377,12371,,relativeAbundance,,1.0260207319653056,percentage
12384,12378,,reads,,116.0,unit
12384,12378,,relativeAbundance,,0.1558846453624318,percentage
12391,12385,,reads,,6036.0,unit
12391,12385,,relativeAbundance,,18.18400915828162,percentage
12398,12392,,reads,,10561.0,unit
12398,12392,,relativeAbundance,,27.09129620603853,percentage
12405,12399,,reads,,1200.0,unit
12405,12399,,relativeAbundance,,4.25501737465428,percentage
12412,12406,,reads,,5325.0,unit
12412,12406,,relativeAbundance,,14.123169955442393,percentage
12419,12413,,reads,,756.0,unit
12419,12413,,relativeAbundance,,5.7116953762466,percentage
12426,12420,,reads,,74.0,unit
12426,12420,,relativeAbundance,,0.10454192272374091,percentage
12433,12427,,reads,,58.0,unit
12433,12427,,relativeAbundance,,0.10407507760770873,percentage
12440,12434,,reads,,4.0,unit
12440,12434,,relativeAbundance,,0.004307466994034158,percentage
12447,12441,,reads,,4.0,unit
12447,12441,,relativeAbundance,,0.013645357167223851,percentage
12454,12448,,reads,,186.0,unit
12454,12448,,relativeAbundance,,0.4088091784254253,percentage
12461,12455,,reads,,18537.0,unit
12461,12455,,relativeAbundance,,45.0014565935133,percentage
12468,12462,,reads,,1498.0,unit
12468,12462,,relativeAbundance,,9.04207158809682,percentage
12475,12469,,reads,,1137.0,unit
12475,12469,,relativeAbundance,,1.2184405675339707,percentage
12482,12476,,reads,,4995.0,unit
12482,12476,,relativeAbundance,,14.831640833778728,percentage
12489,12483,,reads,,115.0,unit
12489,12483,,relativeAbundance,,0.18978463569601453,percentage
12496,12490,,reads,,156.0,unit
12496,12490,,relativeAbundance,,0.2244410554484505,percentage
12503,12497,,reads,,2701.0,unit
12503,12497,,relativeAbundance,,3.324225865209472,percentage
12510,12504,,reads,,354.0,unit
12510,12504,,relativeAbundance,,1.075268817204301,percentage
12517,12511,,reads,,650.0,unit
12517,12511,,relativeAbundance,,0.8646031471554556,percentage
12524,12518,,reads,,3705.0,unit
12524,12518,,relativeAbundance,,12.672298799466429,percentage
12531,12525,,reads,,1222.0,unit
12531,12525,,relativeAbundance,,6.158342992491055,percentage
12538,12532,,reads,,1217.0,unit
12538,12532,,relativeAbundance,,5.851805548877242,percentage
12545,12539,,reads,,242.0,unit
12545,12539,,relativeAbundance,,0.6945042330319988,percentage
12552,12546,,reads,,420.0,unit
12552,12546,,relativeAbundance,,3.287413901064496,percentage
12559,12553,,reads,,5.0,unit
12559,12553,,relativeAbundance,,0.024637823987385433,percentage
12566,12560,,reads,,843.0,unit
12566,12560,,relativeAbundance,,2.621268656716418,percentage
12573,12567,,reads,,53.0,unit
12573,12567,,relativeAbundance,,0.20016617569302816,percentage
12580,12574,,reads,,4.0,unit
12580,12574,,relativeAbundance,,0.020469781485082647,percentage
12587,12581,,reads,,176.0,unit
12587,12581,,relativeAbundance,,0.3147240799685276,percentage
12594,12588,,reads,,1355.0,unit
12594,12588,,relativeAbundance,,4.135889139857151,percentage
12601,12595,,reads,,308.0,unit
12601,12595,,relativeAbundance,,1.0989795190180547,percentage
12608,12602,,reads,,17.0,unit
12608,12602,,relativeAbundance,,0.027297397112898823,percentage
12615,12609,,reads,,606.0,unit
12615,12609,,relativeAbundance,,1.8313136502372247,percentage
12622,12616,,reads,,321.0,unit
12622,12616,,relativeAbundance,,0.833939519900239,percentage
12629,12623,,reads,,14446.0,unit
12629,12623,,relativeAbundance,,21.709923205241882,percentage
12636,12630,,reads,,372.0,unit
12636,12630,,relativeAbundance,,1.2690182165518182,percentage
12643,12637,,reads,,31.0,unit
12643,12637,,relativeAbundance,,0.04808736388173611,percentage
12650,12644,,reads,,373.0,unit
12650,12644,,relativeAbundance,,0.6861662987490802,percentage
12657,12651,,reads,,489.0,unit
12657,12651,,relativeAbundance,,0.7115935912920736,percentage
