digitalEntityID,digitalEntityType,accessURI,webStatement
16830,sequence,,
16837,sequence,,
16844,sequence,,
16851,sequence,,
16858,sequence,,
16865,sequence,,
16872,sequence,,
16879,sequence,,
16886,sequence,,
16893,sequence,,
16900,sequence,,
16907,sequence,,
16914,sequence,,
16921,sequence,,
16928,sequence,,
16935,sequence,,
16942,sequence,,
16949,sequence,,
16956,sequence,,
16963,sequence,,
16970,sequence,,
16977,sequence,,
16984,sequence,,
16991,sequence,,
16998,sequence,,
17005,sequence,,
17012,sequence,,
17019,sequence,,
17026,sequence,,
17033,sequence,,
17040,sequence,,
17047,sequence,,
17054,sequence,,
17061,sequence,,
17068,sequence,,
17075,sequence,,
17082,sequence,,
17089,sequence,,
17096,sequence,,
17103,sequence,,
17110,sequence,,
17117,sequence,,
17124,sequence,,
17131,sequence,,
17138,sequence,,
17145,sequence,,
17152,sequence,,
17159,sequence,,
17166,sequence,,
17173,sequence,,
17180,sequence,,
17187,sequence,,
17194,sequence,,
17201,sequence,,
17208,sequence,,
17215,sequence,,
17222,sequence,,
17229,sequence,,
17236,sequence,,
17243,sequence,,
17250,sequence,,
17257,sequence,,
17264,sequence,,
17271,sequence,,
17278,sequence,,
17285,sequence,,
17292,sequence,,
17299,sequence,,
17306,sequence,,
17313,sequence,,
17320,sequence,,
17327,sequence,,
17334,sequence,,
17341,sequence,,
17348,sequence,,
17355,sequence,,
17362,sequence,,
17369,sequence,,
17376,sequence,,
17383,sequence,,
17390,sequence,,
17397,sequence,,
17404,sequence,,
17411,sequence,,
17418,sequence,,
17425,sequence,,
17432,sequence,,
17439,sequence,,
17446,sequence,,
17453,sequence,,
17460,sequence,,
17467,sequence,,
17474,sequence,,
17481,sequence,,
17488,sequence,,
17495,sequence,,
17502,sequence,,
17509,sequence,,
17516,sequence,,
17523,sequence,,
17530,sequence,,
17537,sequence,,
17544,sequence,,
17551,sequence,,
17558,sequence,,
17565,sequence,,
17572,sequence,,
17579,sequence,,
17586,sequence,,
17593,sequence,,
17600,sequence,,
17607,sequence,,
17614,sequence,,
17621,sequence,,
17628,sequence,,
17635,sequence,,
17642,sequence,,
17649,sequence,,
17656,sequence,,
17663,sequence,,
17670,sequence,,
17677,sequence,,
17684,sequence,,
17691,sequence,,
17698,sequence,,
17705,sequence,,
17712,sequence,,
17719,sequence,,
17726,sequence,,
17733,sequence,,
17740,sequence,,
17747,sequence,,
17754,sequence,,
17761,sequence,,
17768,sequence,,
17775,sequence,,
17782,sequence,,
17789,sequence,,
17796,sequence,,
17803,sequence,,
17810,sequence,,
17817,sequence,,
17824,sequence,,
17831,sequence,,
17838,sequence,,
17845,sequence,,
17852,sequence,,
17859,sequence,,
17866,sequence,,
17873,sequence,,
17880,sequence,,
17887,sequence,,
17894,sequence,,
17901,sequence,,
17908,sequence,,
17915,sequence,,
17922,sequence,,
17929,sequence,,
17936,sequence,,
17943,sequence,,
17950,sequence,,
17957,sequence,,
17964,sequence,,
17971,sequence,,
17978,sequence,,
17985,sequence,,
17992,sequence,,
17999,sequence,,
18006,sequence,,
18013,sequence,,
18020,sequence,,
18027,sequence,,
18034,sequence,,
18041,sequence,,
18048,sequence,,
18055,sequence,,
18062,sequence,,
18069,sequence,,
18076,sequence,,
18083,sequence,,
18090,sequence,,
18097,sequence,,
18104,sequence,,
18111,sequence,,
18118,sequence,,
18125,sequence,,
18132,sequence,,
18139,sequence,,
18146,sequence,,
18153,sequence,,
18160,sequence,,
18167,sequence,,
18174,sequence,,
18181,sequence,,
18188,sequence,,
18195,sequence,,
18202,sequence,,
18209,sequence,,
18216,sequence,,
18223,sequence,,
18230,sequence,,
18237,sequence,,
18244,sequence,,
18251,sequence,,
18258,sequence,,
18265,sequence,,
18272,sequence,,
18279,sequence,,
18286,sequence,,
18293,sequence,,
18300,sequence,,
18307,sequence,,
18314,sequence,,
18321,sequence,,
18328,sequence,,
18335,sequence,,
18342,sequence,,
18349,sequence,,
18356,sequence,,
18363,sequence,,
18370,sequence,,
18377,sequence,,
18384,sequence,,
18391,sequence,,
18398,sequence,,
18405,sequence,,
18412,sequence,,
18419,sequence,,
18426,sequence,,
18433,sequence,,
18440,sequence,,
18447,sequence,,
18454,sequence,,
18461,sequence,,
18468,sequence,,
18475,sequence,,
18482,sequence,,
18489,sequence,,
18496,sequence,,
18503,sequence,,
18510,sequence,,
18517,sequence,,
18524,sequence,,
18531,sequence,,
18538,sequence,,
18545,sequence,,
18552,sequence,,
18559,sequence,,
18566,sequence,,
18573,sequence,,
18580,sequence,,
18587,sequence,,
18594,sequence,,
18601,sequence,,
18608,sequence,,
18615,sequence,,
18622,sequence,,
18629,sequence,,
18636,sequence,,
18643,sequence,,
18650,sequence,,
18657,sequence,,
18664,sequence,,
18671,sequence,,
18678,sequence,,
18685,sequence,,
18692,sequence,,
18699,sequence,,
18706,sequence,,
18713,sequence,,
18720,sequence,,
18727,sequence,,
18734,sequence,,
18741,sequence,,
18748,sequence,,
18755,sequence,,
18762,sequence,,
18769,sequence,,
18776,sequence,,
18783,sequence,,
18790,sequence,,
18797,sequence,,
18804,sequence,,
18811,sequence,,
18818,sequence,,
18825,sequence,,
18832,sequence,,
18839,sequence,,
18846,sequence,,
18853,sequence,,
18860,sequence,,
18867,sequence,,
18874,sequence,,
18881,sequence,,
18888,sequence,,
18895,sequence,,
18902,sequence,,
18909,sequence,,
18916,sequence,,
18923,sequence,,
18930,sequence,,
18937,sequence,,
18944,sequence,,
18951,sequence,,
18958,sequence,,
18965,sequence,,
18972,sequence,,
18979,sequence,,
18986,sequence,,
18993,sequence,,
19000,sequence,,
19007,sequence,,
19014,sequence,,
19021,sequence,,
19028,sequence,,
19035,sequence,,
19042,sequence,,
19049,sequence,,
19056,sequence,,
19063,sequence,,
19070,sequence,,
19077,sequence,,
19084,sequence,,
19091,sequence,,
19098,sequence,,
19105,sequence,,
19112,sequence,,
19119,sequence,,
19126,sequence,,
19133,sequence,,
19140,sequence,,
19147,sequence,,
19154,sequence,,
19161,sequence,,
19168,sequence,,
19175,sequence,,
19182,sequence,,
19189,sequence,,
